t,x
0.2572964383,0.0028294798
0.2582389161,0.0028606178
0.2591813939,0.0028919826
0.2601238717,0.0029235751
0.2610663495,0.0029553961
0.2620088273,0.0029874463
0.2629513051,0.0030197266
0.2638937829,0.0030522378
0.2648362607,0.0030849807
0.2657787385,0.0031179560
0.2667212163,0.0031511647
0.2676636941,0.0031846076
0.2686061719,0.0032182853
0.2695486497,0.0032521988
0.2704911275,0.0032863488
0.2714336053,0.0033207362
0.2723760831,0.0033553617
0.2733185609,0.0033902262
0.2742610387,0.0034253304
0.2752035165,0.0034606753
0.2761459943,0.0034962615
0.2770884720,0.0035320899
0.2780309498,0.0035681613
0.2789734276,0.0036044764
0.2799159054,0.0036410362
0.2808583832,0.0036778414
0.2818008610,0.0037148928
0.2827433388,0.0037521912
0.2836858166,0.0037897374
0.2846282944,0.0038275323
0.2855707722,0.0038655765
0.2865132500,0.0039038711
0.2874557278,0.0039424166
0.2883982056,0.0039812140
0.2893406834,0.0040202640
0.2902831612,0.0040595674
0.2912256390,0.0040991251
0.2921681168,0.0041389378
0.2931105946,0.0041790064
0.2940530724,0.0042193316
0.2949955502,0.0042599143
0.2959380280,0.0043007552
0.2968805058,0.0043418552
0.2978229836,0.0043832150
0.2987654614,0.0044248355
0.2997079392,0.0044667174
0.3006504169,0.0045088616
0.3015928947,0.0045512689
0.3025353725,0.0045939399
0.3034778503,0.0046368757
0.3044203281,0.0046800769
0.3053628059,0.0047235443
0.3063052837,0.0047672788
0.3072477615,0.0048112811
0.3081902393,0.0048555521
0.3091327171,0.0049000925
0.3100751949,0.0049449032
0.3110176727,0.0049899848
0.3119601505,0.0050353384
0.3129026283,0.0050809645
0.3138451061,0.0051268641
0.3147875839,0.0051730379
0.3157300617,0.0052194867
0.3166725395,0.0052662114
0.3176150173,0.0053132126
0.3185574951,0.0053604913
0.3194999729,0.0054080481
0.3204424507,0.0054558840
0.3213849285,0.0055039996
0.3223274063,0.0055523959
0.3232698841,0.0056010735
0.3242123619,0.0056500332
0.3251548396,0.0056992760
0.3260973174,0.0057488025
0.3270397952,0.0057986136
0.3279822730,0.0058487100
0.3289247508,0.0058990925
0.3298672286,0.0059497620
0.3308097064,0.0060007192
0.3317521842,0.0060519650
0.3326946620,0.0061035000
0.3336371398,0.0061553251
0.3345796176,0.0062074412
0.3355220954,0.0062598489
0.3364645732,0.0063125490
0.3374070510,0.0063655425
0.3383495288,0.0064188300
0.3392920066,0.0064724123
0.3402344844,0.0065262903
0.3411769622,0.0065804647
0.3421194400,0.0066349363
0.3430619178,0.0066897059
0.3440043956,0.0067447742
0.3449468734,0.0068001422
0.3458893512,0.0068558105
0.3468318290,0.0069117800
0.3477743068,0.0069680514
0.3487167845,0.0070246256
0.3496592623,0.0070815032
0.3506017401,0.0071386852
0.3515442179,0.0071961722
0.3524866957,0.0072539651
0.3534291735,0.0073120647
0.3543716513,0.0073704717
0.3553141291,0.0074291869
0.3562566069,0.0074882112
0.3571990847,0.0075475452
0.3581415625,0.0076071899
0.3590840403,0.0076671459
0.3600265181,0.0077274140
0.3609689959,0.0077879951
0.3619114737,0.0078488899
0.3628539515,0.0079100992
0.3637964293,0.0079716238
0.3647389071,0.0080334645
0.3656813849,0.0080956220
0.3666238627,0.0081580971
0.3675663405,0.0082208907
0.3685088183,0.0082840034
0.3694512961,0.0083474361
0.3703937739,0.0084111896
0.3713362517,0.0084752646
0.3722787295,0.0085396619
0.3732212072,0.0086043823
0.3741636850,0.0086694266
0.3751061628,0.0087347956
0.3760486406,0.0088004900
0.3769911184,0.0088665106
0.3779335962,0.0089328582
0.3788760740,0.0089995335
0.3798185518,0.0090665375
0.3807610296,0.0091338707
0.3817035074,0.0092015340
0.3826459852,0.0092695283
0.3835884630,0.0093378541
0.3845309408,0.0094065125
0.3854734186,0.0094755040
0.3864158964,0.0095448295
0.3873583742,0.0096144897
0.3883008520,0.0096844856
0.3892433298,0.0097548177
0.3901858076,0.0098254869
0.3911282854,0.0098964939
0.3920707632,0.0099678396
0.3930132410,0.0100395247
0.3939557188,0.0101115500
0.3948981966,0.0101839163
0.3958406744,0.0102566242
0.3967831521,0.0103296747
0.3977256299,0.0104030684
0.3986681077,0.0104768062
0.3996105855,0.0105508888
0.4005530633,0.0106253170
0.4014955411,0.0107000916
0.4024380189,0.0107752133
0.4033804967,0.0108506828
0.4043229745,0.0109265011
0.4052654523,0.0110026688
0.4062079301,0.0110791867
0.4071504079,0.0111560556
0.4080928857,0.0112332762
0.4090353635,0.0113108493
0.4099778413,0.0113887758
0.4109203191,0.0114670562
0.4118627969,0.0115456915
0.4128052747,0.0116246824
0.4137477525,0.0117040297
0.4146902303,0.0117837340
0.4156327081,0.0118637963
0.4165751859,0.0119442172
0.4175176637,0.0120249975
0.4184601415,0.0121061380
0.4194026193,0.0121876395
0.4203450971,0.0122695027
0.4212875748,0.0123517283
0.4222300526,0.0124343172
0.4231725304,0.0125172701
0.4241150082,0.0126005878
